2018CHEK06,Kelin Chen (陈科林)
2015PENG05,Weicong Peng (彭伟聪)
2017YANG16,Yuhuang Yang (杨宇煌)
2018LIYU18,Yuwei Li (李宇威)
2018TANG24,Yanshen Tang (汤彦燊)
2018WANZ26,Zhihan Wang (王祉晗)
2018XIEJ03,Jiahao Xie (谢佳豪)
2015HUAN39,Huijun Huang (黄回君)
2018LUOC05,Chong Luo (罗崇)
2018ZHAD08,Dongshan Zhang (张栋汕)
2016CAOY01,Yuan Cao (操源)
2018LUOL03,Luxiang Luo (罗绿翔)
2018LAIQ01,Qin Lai (赖沁)
2018WENP02,Pengfeng Wen (温鹏锋)
2018YANB01,Baixue Yang (杨白雪)
2018ZHAZ11,Zihe Zhang (张梓壑)
2018WEIQ01,Qingwei Wei (魏庆伟)
2018LIYU17,Yuhua Li (李煜桦)
2018NIEW03,Wei Nie (聂伟)
2018WULI04,Lingfeng Wu (伍凌枫)
2018XIEX01,Xunquan Xie (谢迅权)
2018HUAN70,Weishen Huang (黄伟燊)
2018LUOF01,Fenghua Luo (罗烽骅)
2018CAOX02,Xizi Cao (曹熙梓)
2018LUOY07,Yijun Luo (罗亿军)
2018LIAN27,Yongbo Liang (梁永波)
2018DENG16,Songtao Deng (邓松涛)
2015ZHON03,Kaiwen Zhong (钟凯文)
2017LUOY03,Yihao Luo (罗益浩)
2017LUOJ03,Jiahui Luo (罗佳辉)
2009CAIY02,Yan Cai (蔡彦)
2016WANH14,Huabin Wang (王华斌)
2010LIUS02,Sizhe Liu (刘斯哲)
2018LIUJ23,Jie Liu (刘杰)
2015YULE01,Lei Yu (余雷)
2019WEIG01,Guixing Wei (魏桂兴)
2019ZHAN10,Wei Zhang (张威)
2019YANH04,Heng Yang (杨恒)
2019LIAO10,Yuqi Liao (廖昱棋)
2019ZHEN42,Jiongxi Zheng (郑炯熙)
2019ZHON22,Weizheng Zhong (钟维政)
2019WENZ02,Zhengye Wen (温正烨)
2019ZHAY17,Yuqian Zhang (张羽骞)
2019ZHON23,Yuping Zhong (钟宇平)
2019LIYI07,Yixuan Li (李一玄)
2019LIRU03,Ruijun Li (李锐君)
2019CHEH04,Haoxin Chen (陈浩鑫)
2019SHIH06,Hangyi Shi (石航懿)
2019ZHON20,Junwei Zhong (钟俊威)
2019TANG22,Zihong Tang (唐梓泓)
